video,speaker
1,woman-1
3,woman-2
4,woman-1
5,woman-2
6,woman-2
8,man-1
9,woman-2
10,woman-1
11,woman-2
13,woman-2
14,woman-2
15,woman-2
16,man-1
17,woman-2
18,woman-1
19,woman-2
20,woman-2
22,woman-2
23,woman-2
24,woman-2
26,woman-2
27,woman-2
29,man-1
31,man-1
32,woman-2
33,woman-2
34,woman-2
35,man-1
37,woman-2
38,woman-2
39,man-1
41,woman-2
42,woman-1
44,woman-2
45,woman-1
46,woman-1
47,woman-2
48,woman-1
49,woman-1
51,woman-1
52,woman-1
53,woman-2
55,woman-2
56,man-1
58,man-1
59,woman-1
60,woman-1
61,woman-1
62,woman-1
63,woman-1
64,woman-1
65,woman-1
66,woman-1
68,woman-2
69,woman-2
70,woman-2
72,woman-2
73,man-1
75,woman-2
76,woman-2
78,woman-2
79,woman-2
80,woman-2
81,woman-2
82,woman-1
83,woman-1
85,woman-1
86,woman-1
87,woman-2
88,woman-2
91,woman-2
93,man-1
94,woman-2
95,man-1
96,man-1
97,woman-2
98,woman-1
99,woman-1
101,woman-1
102,woman-2
103,woman-1
104,woman-1
106,man-1
109,woman-2
110,woman-2
111,woman-2
112,man-1
114,man-1
115,woman-2
116,man-1
117,man-1
118,man-1
120,man-1
121,woman-2
123,woman-1
124,man-1
125,woman-1
126,woman-1
127,man-1
128,woman-1
129,man-1
130,man-1
131,man-1
132,man-1
133,man-1
134,woman-1
135,woman-1
136,woman-1
137,man-1
138,woman-1
140,woman-1
141,woman-1
143,man-1
144,woman-1
145,woman-1
146,woman-1
147,woman-1
148,man-1
149,man-1
150,woman-1
151,woman-1
152,man-1
153,man-1
154,woman-1
155,man-1
156,woman-1
157,man-1
159,man-1
160,woman-1
161,woman-1
162,woman-1
163,woman-1
164,woman-1
165,man-1
166,man-1
168,man-1
169,man-1
170,man-1
172,man-1
173,man-1
175,man-1
176,man-1
177,man-1
178,man-1
179,man-1
180,man-1
182,man-1
183,man-1
185,man-1
186,man-1
187,man-1
188,man-1
190,man-1
191,man-1
192,man-1
194,woman-1
195,woman-2
196,man-1
197,man-1
198,man-1
200,woman-1
2,woman-1
7,man-1
12,woman-2
21,woman-2
25,woman-2
28,woman-2
30,man-1
36,man-1
40,man-1
43,woman-1
50,woman-1
54,woman-2
57,man-1
67,woman-1
71,woman-2
74,man-1
77,woman-2
84,woman-1
89,woman-2
90,man-1
92,woman-2
100,woman-1
105,woman-1
107,man-1
108,woman-2
113,man-1
119,man-1
122,woman-2
139,man-1
142,woman-1
158,man-1
167,man-1
171,man-1
174,man-1
181,man-1
184,man-1
189,man-1
193,man-1
199,woman-1
201,woman-2
